cluster_id,top_keywords,earliest_published,latest_published,article_count
4414,"climate, sa, climate change, coal, south africa, green, eskom, change",2021-05-25T05:45:44.187Z,2021-08-28T15:00:29.640Z,46
8899,"china crackdown, second, cultural, revolution",2021-09-05T07:42:30.823Z,2021-09-05T07:42:30.823Z,1
1864,"eastern cape, birds, sky, disease, chicken, pics, dozens, drop",2021-03-31T03:00:17.363Z,2021-04-15T12:58:49.383Z,6
9758,"south african, wikipedia, group, appoints, ceo, nonprofit, new, boss",2021-09-14T18:16:52.227Z,2021-09-14T18:16:52.227Z,1
212,"new, kzn, rhino, african, ocean, planet, conservation, sa",2021-03-02T09:57:28.447Z,2021-08-29T10:54:46.547Z,91
9555,"britney spears, sam asghari, sam, asghari, inside, newly, engaged, plans",2021-09-13T05:50:00.500Z,2021-09-15T06:45:28.600Z,3
5801,"eskom, econ oil, oil, eskom files, de, ruyter, econ, acting",2021-06-25T07:56:41.800Z,2021-07-07T10:36:08.790Z,7
7263,"journalists, bank, meet, team, saturday profile, risk, getting, vaccinated",2021-07-31T11:06:56.563Z,2021-08-14T08:06:33.187Z,2
8435,"covid19, life, springboks, quarantine, going, black, players, partied",2021-08-30T12:03:55.253Z,2021-09-04T08:59:58.180Z,5
6725,"uif, ters, unrest, workers, help, lockdowns, fraud, employees",2021-07-18T06:21:52.723Z,2021-08-27T15:00:26.333Z,12
9865,"missing, door, handles, plastic, windows, weird, car, flaws",2021-09-16T02:30:58.413Z,2021-09-16T02:30:58.413Z,1
8105,"business class, automatically, comes, middle, seat, flysafair",2021-08-20T10:44:07.430Z,2021-08-20T10:44:07.430Z,1
9944,"instant money, transfers, access, points, nationwide",2021-09-16T10:59:33.967Z,2021-09-16T10:59:33.967Z,1
9764,"bamboo, handlebars, best",2021-09-15T03:09:44.310Z,2021-09-15T03:09:44.310Z,1
10658,"pick n pay, bakery, sold, muffins, school, kids, wants, snowball",2021-09-26T06:42:41.830Z,2021-09-26T06:42:41.830Z,1
10471,"sagan, ready, parisroubaix",2021-09-22T14:35:23.347Z,2021-09-22T14:35:23.347Z,1
10602,"spur, native, american, imagery, fresh, costs, open, rocomamas",2021-09-24T07:56:14.770Z,2021-09-25T07:11:32.393Z,2
10632,"china, frees, canadians, huawei, cfo, leaves, ending, crisis",2021-09-25T08:30:11.340Z,2021-09-25T08:30:11.340Z,1
10640,"earn, master, degree, coffee, 9month, programme, italy",2021-09-25T13:58:37.103Z,2021-09-25T13:58:37.103Z,1
10400,"pics, endangered, humpback, dolphins, seven, killer, whales, spotted",2021-09-22T04:16:44.307Z,2021-09-22T04:16:44.307Z,1
2819,"kzn, school, bully, gets, year, restrictions, kwazulunatal, schoolgirl",2021-04-20T04:43:30.163Z,2021-04-29T16:28:40.687Z,3
10305,"britney spears, netflix, britney, vs, spears, instagram, sharing, photos",2021-09-21T08:46:02.890Z,2021-09-25T08:04:36.590Z,5
10332,"cape town, expect, comic, con, popup, events",2021-09-21T11:49:55.177Z,2021-09-21T11:49:55.177Z,1
10638,"sudan, holds, talks, protesters, lift, port, blockade",2021-09-25T11:00:01.947Z,2021-09-25T11:00:01.947Z,1
2120,"enca, refreshes, anchor, lineup, 2021",2021-04-06T08:31:51.103Z,2021-04-06T08:31:51.103Z,1
10514,"ifp, buthelezi, hlabisa, relationship, notch",2021-09-23T04:29:00.043Z,2021-09-23T04:29:00.043Z,1
10454,"dating rumours, boity, addresses, anton, jeftha, trending, youtube, video",2021-09-22T11:47:55.527Z,2021-09-22T11:47:55.527Z,1
8531,"digital vibes, siu, mkhize, siu report, report, health, dg, parliament",2021-08-31T10:21:21.393Z,2021-09-03T19:47:58.110Z,8
10547,"love, traditions, tsonga, tswana, pedi, venda, readers, customs",2021-09-23T09:23:50.563Z,2021-09-23T09:23:50.563Z,1
8728,"award, sa, cycling, tool",2021-09-02T06:08:54.643Z,2021-09-02T06:08:54.643Z,1
10570,"iphones, need, redesign, eu, pushes, universal, charger",2021-09-23T12:50:14.123Z,2021-09-23T12:50:14.123Z,1
10381,"new york, man, arrested, threatening, kill, dominican, leader",2021-09-21T19:30:33.710Z,2021-09-21T19:30:33.710Z,1
10616,"heathrow, airport, uk, border, gates, affected, failure",2021-09-24T15:19:59.383Z,2021-09-24T15:19:59.383Z,1
10356,"germany, killing, mask, row, covid19, shocked, petrol, station",2021-09-21T14:51:16.247Z,2021-09-22T20:55:35.303Z,3
10370,"post, trump, us, democrats, offer, bill, rein, presidential",2021-09-21T16:52:56.440Z,2021-09-21T16:52:56.440Z,1
10299,"texas, megachurch, preacher, trump, devotee, credible, religious, argument",2021-09-21T07:49:58.380Z,2021-09-21T07:49:58.380Z,1
10285,"bok, loosie, wiese, cited, player, physically, abuse",2021-09-21T05:39:50.340Z,2021-09-21T05:39:50.340Z,1
10464,"bts, promote, youth, solutions, planet, address, un",2021-09-22T13:19:29.483Z,2021-09-22T13:19:29.483Z,1
4739,"rwanda, police, arrest, youtuber, alleged, genocide, denial",2021-06-01T11:20:44.100Z,2021-06-01T11:20:44.100Z,1
10436,"years, nirvana, nevermind, album, forged, contradictions",2021-09-22T08:24:12.410Z,2021-09-22T08:24:12.410Z,1
8843,"porn, good, bad, relationship, doctors, explain",2021-09-03T12:53:29.270Z,2021-09-03T12:53:29.270Z,1
10580,"health, cost, far, r12bn, taxes, tobacco, generates, expert",2021-09-23T16:00:56.407Z,2021-09-23T16:00:56.407Z,1
4919,"covid19, vaccine, vaccines, africa, sa, local, million, waiver",2021-06-05T20:03:43.700Z,2021-08-20T12:21:19.283Z,39
1891,"boity, fruit, boity thulo, signature, new, drink, hidden, treasure",2021-03-31T07:28:06.057Z,2021-04-01T16:24:43.910Z,5
4864,"pursuing, career, esports, cant, play, living",2021-06-03T19:06:55.053Z,2021-06-03T19:06:55.053Z,1
10462,"john boyega, viola davis, thuso mbedu, joins, viola, davis, woman, king",2021-09-22T12:55:05.577Z,2021-09-22T12:55:05.577Z,1
10496,"dead, guineabissau, health, worker, strike, union",2021-09-22T19:54:33.863Z,2021-09-22T19:54:33.863Z,1
4854,"watch, cup, food, day, reduces, risk, heart, disease",2021-06-03T13:05:43.160Z,2021-06-03T13:05:43.160Z,1
5410,"podcast, parent247, fathers, postpartum, depression, mental health, podcast series, maternal",2021-06-17T06:37:41.690Z,2021-06-17T06:40:46.153Z,2
2544,"robben island, robben island museum, showing, signs, decay, cut, salaries, amid",2021-04-14T04:49:15.233Z,2021-05-10T19:35:45.480Z,4
10610,"induna, killed, ilembe, district",2021-09-24T10:20:03.567Z,2021-09-24T10:20:03.567Z,1
10386,"tedros, wins, german, backing, second, term, poised, reelection",2021-09-21T21:00:29.747Z,2021-09-23T20:57:11.270Z,2
10581,"beer, tourism, brew, routes, selfies, hardhit, craft, sector",2021-09-23T16:11:20.690Z,2021-09-23T16:11:20.690Z,1
8644,"man, trampled, death, elephant, zimbabwe, taking, selfie",2021-09-01T09:22:55.850Z,2021-09-01T09:22:55.850Z,1
8626,"roads, resurfaced, million, windfall",2021-09-01T07:20:08.527Z,2021-09-01T07:20:08.527Z,1
8506,"internet, fraud, remains, threat, standard bank, tips, caught, scammers",2021-08-31T06:41:15.043Z,2021-09-02T13:58:37.600Z,4
8908,"new york, look, startup, creating, million, modular, portable, hotel",2021-09-05T14:25:21.150Z,2021-09-05T14:25:21.150Z,1
8872,"pick n pay, sound, engineer, makes, charcoal, agricultural, waste, supplies",2021-09-04T06:15:27.990Z,2021-09-04T06:15:27.990Z,1
8876,"unfinished, beethoven, symphony, reimagined, click",2021-09-04T10:37:09.490Z,2021-09-04T10:37:09.490Z,1
8568,"life, insurers, covid19, deaths, hit, million, sa, policyholders",2021-08-31T15:04:39.197Z,2021-09-04T09:20:29.807Z,3
8904,"electricity supply, drought, squeezes, brazil",2021-09-05T10:37:24.037Z,2021-09-05T10:37:24.037Z,1
4175,"matjhabeng municipality, advertorial, invitation, tender, home, buyers, guide, bontle",2021-05-19T13:40:24.533Z,2021-05-24T18:29:39.590Z,3
8731,"mahumapelo, lenkopane, suspensions, anc, fall, away, fresh, hearings",2021-09-02T06:43:29.297Z,2021-09-02T06:43:29.297Z,1
8790,"top 14, biarritz, plan, leave, town, mayoral, death, sentence",2021-09-02T16:13:33.473Z,2021-09-02T16:13:33.473Z,1
8881,"open, letter, urgent, action, needed, bring, calm, ethiopia",2021-09-04T12:00:08.160Z,2021-09-04T12:00:08.160Z,1
8471,"percy tau, bafana, star, chuffed, brighton, pitso, mosimanecoached, alahly",2021-08-30T17:41:08.677Z,2021-09-04T08:39:41.460Z,4
8653,"elton john, feels, namechecked, bts, permission, dance",2021-09-01T10:29:14.780Z,2021-09-01T10:29:14.780Z,1
3615,"wimbledon, djokovic, french open, federer, tennis, barty, slam, nadal",2021-05-07T06:01:57.527Z,2021-08-16T05:33:38.363Z,140
8885,"el salvador, court rules, court, rules, consecutive, terms",2021-09-04T14:16:48.613Z,2021-09-04T14:16:48.613Z,1
8482,"khusela diko, ramaphosa, spokesperson, reinstated, warning, following, ppe, tender",2021-08-31T03:00:04.160Z,2021-08-31T17:04:37.080Z,3
8685,"ethereum, cofounder, crypto, play, larger, role, taliban, regime",2021-09-01T15:46:21.713Z,2021-09-01T15:46:21.713Z,1
8765,"whatsapp, fined, r2bn, data, transparency, breaches",2021-09-02T11:07:27.573Z,2021-09-02T11:07:27.573Z,1
8624,"deutsche bank, standard bank, cuts, ties, standard, bank",2021-09-01T05:20:15.543Z,2021-09-01T05:20:15.543Z,1
6659,"kim kardashian, kate, moss, goes, topless, underwear, brand, inside",2021-07-16T06:58:07.590Z,2021-07-16T06:58:07.590Z,1
7898,"kefu, stabbing, exwallaby, tonga, coach, exwallabies, star, critical",2021-08-16T09:59:14.210Z,2021-08-20T09:15:41.417Z,4
8868,"pietermaritzburg, hockey, star, mbande, perfects, balance",2021-09-04T04:18:46.870Z,2021-09-04T04:18:46.870Z,1
8658,"dwayne johnson, jungle cruise, announces, jungle, cruise",2021-09-01T11:21:59.583Z,2021-09-01T11:21:59.583Z,1
7704,"100yearold, woman, officially, oldest, female, powerlifter, world",2021-08-11T13:41:56.653Z,2021-08-11T13:41:56.653Z,1
8783,"venture, capitalists, losing, leverage, founders, young, influencer, investors",2021-09-02T14:25:16.003Z,2021-09-02T14:25:16.003Z,1
8201,"kevin, feige, updates, fans, avengers",2021-08-24T12:32:26.583Z,2021-08-24T12:32:26.583Z,1
7649,"meet, women, sa, biggest, seafood, factories",2021-08-10T13:54:59.870Z,2021-08-10T13:54:59.870Z,1
1475,"it, demonstration, god, power, pastor, accused, farting, congregants",2021-03-23T13:23:40.067Z,2021-03-30T13:30:15.743Z,2
8826,"sis dolly, told, friend, mean, blueticking, answers, burning, questions",2021-09-03T09:50:07.210Z,2021-09-03T09:50:07.210Z,1
8523,"netflix, releases, teaser, season",2021-08-31T09:53:10.780Z,2021-08-31T09:53:10.780Z,1
8481,"transfer window, live, deadline, psl, epl, clubs, rush, signings",2021-08-30T20:38:05.230Z,2021-08-30T20:38:05.230Z,1
8630,"russia, hermitage, museum, sell, masterpieces, nft, tokens",2021-09-01T07:31:42.533Z,2021-09-01T07:31:42.533Z,1
8288,"kzn, legislature, women, month, webinar",2021-08-26T12:51:34.217Z,2021-08-26T12:51:34.217Z,1
7927,"sunflower, day, campaign, pollinating, spreading, seeds, hope",2021-08-17T04:24:00.237Z,2021-08-17T04:24:00.237Z,1
3777,"sharks, currie cup, bulls, western province, v, cheetahs, griquas, women",2021-05-11T07:02:07.300Z,2021-08-28T20:02:30.487Z,37
8289,"jay z, basquiat, painting, featured, beyoncé, tiffany, co, campaign",2021-08-26T13:07:00.280Z,2021-08-26T13:07:00.280Z,1
252,"fuel price, petrol, fuel prices, prices, diesel, aa, april, set",2021-03-02T13:49:41.987Z,2021-08-27T14:13:18.817Z,26
420,"euro 2020, real madrid, germany, spain, ronaldo, portugal, win, france",2021-03-04T05:07:59.810Z,2021-08-28T19:10:33.290Z,178
8342,"watch, kzn, midlands, turns, snow, chasers, paradise",2021-08-29T14:20:58.137Z,2021-08-29T14:20:58.137Z,1
8468,"taliban, leadership",2021-08-30T16:54:41.150Z,2021-08-30T16:54:41.150Z,1
8619,"metro, gets, new, mayor",2021-09-01T04:29:49.300Z,2021-09-01T04:29:49.300Z,1
8246,"willard katsande, road rage, road, rage",2021-08-25T13:03:52.237Z,2021-08-25T13:03:52.237Z,1
6645,"chemical spill, durban, beaches, kzn, north, chemical, unrest, closed",2021-07-15T12:44:01.707Z,2021-07-31T04:07:33.567Z,12
736,"leicester tigers, south african, confirm, signings, south, african",2021-03-09T07:37:26.307Z,2021-03-09T07:37:26.307Z,1
1595,"stellenbosch university, language, opinion, afrikaans, songs, student, english, language debate",2021-03-25T07:15:28.197Z,2021-04-13T03:02:38.843Z,12
4477,"zuma, jacob zuma, pleads, guilty, billy downer, case, acquittal, downer",2021-05-26T11:03:13.600Z,2021-06-03T03:03:16.553Z,15
948,"marks, start, new, era, ramaphosa, traditional, khoisan, leadership",2021-03-12T05:23:03.577Z,2021-03-12T05:23:03.577Z,1
8360,"women, book review, interesting, engaging, focus, family, line, alexander",2021-08-30T04:17:47.757Z,2021-09-01T04:44:40.697Z,2
3763,"david warner, michael slater, happened, michael, slater, maldives",2021-05-10T17:02:22.607Z,2021-05-10T17:02:22.607Z,1
8400,"south africa, covid19, potential, variant, interest, identified",2021-08-30T07:51:24.817Z,2021-08-30T07:51:24.817Z,1
7654,"airport, international, africa, airports, cape town, voted, best, slips",2021-08-10T15:38:58.983Z,2021-08-18T04:16:03.190Z,4
7665,"appeal, criminal justice, justice system, ninow, reflects, perpetratorcentric, nature, system",2021-08-10T19:29:46.893Z,2021-08-16T07:41:46.527Z,2
6551,"stores, damaged, unrest, mall, property, malls, looting, soweto",2021-07-13T17:18:01.407Z,2021-08-27T05:43:28.750Z,14
8100,"proudly, local, merino, riding, gear",2021-08-20T08:57:37.660Z,2021-08-20T08:57:37.660Z,1
8130,"universal basic income, elon musk, needed, physical, work, choice, future",2021-08-21T09:41:09.723Z,2021-08-21T09:41:09.723Z,1
8282,"eskom files, pair, knee, guards, angry, de, ruyter, closes",2021-08-26T08:43:45.280Z,2021-08-26T08:43:45.280Z,1
4929,"tb joshua, pastor, dies, passed, away, nigerian, televangelist, social media",2021-06-06T07:39:59.023Z,2021-06-17T15:33:22.353Z,5
10850,"cape town, stock exchange, stock, exchange, opinion, close, usa, crash",2021-09-28T05:10:02.793Z,2021-10-01T14:51:59.100Z,5
10812,"elections 2021, town, cape town, da, housing, cape, affordable housing, de",2021-09-27T17:07:13.053Z,2021-09-30T16:26:19.693Z,4
10984,"nicky van der walt, leeann, liebenberg, 12year, anniversary, love, madly",2021-09-29T08:17:43.117Z,2021-09-29T08:17:43.117Z,1
