user,score
TY2WVWZrUBff9D6YtNRKRo4bx8m1,0.33111227713705882
PfPZq6sVNWNmr8uSbrhkt3Vhf3v1,1.1557194057239329e-32
6tNUc6JwSNbkHFXLrBRBN185cb32,1.0315145384351033e-95
AiKLhhkJIqhIHo2ZXjqWyZmoMuf2,1.2762299372896206e-97
5R7on83DAGPIbKu3ZSPKFmIJ1eI3,0.26224241127837772
tlsBPaV1dYhd0Q8fDEeAf2B95Nu2,4.4325735830110085e-07
yCZD3zKeOjc48NUDoxlwMv9MxaC2,0.25540339731025663
ZJFugBwtWkUSWNztvpiOJDUPK7E2,0.44273299771374469
cuorhGJoMFREUGbjTbUE8g7819F3,3.2952863660438823e-71
kZeE1pyJF7hBMLviaofeosv9wD93,0.452842003414378
ZRSmj3T95yZljOtbkeL8Zb4zSXK2,4.7232720408311537e-68
m14gs1hgEbNBl7utoKDCPW0AcK23,0.25804077024047933
dl28jehzZma7r5f6SoqAx7hiy5n1,0.30679713381356732
kfwRPGxF43YAk1uGWFYjSBzj7Vh1,5.775221735799313e-32
EQGZu8jvVkb8tyQiV2Ljbxz2wYA2,0.43829443540813218
VtGw9ZwbcBSxXjtfztfCN22AERs1,9.4035798486559742e-88
HrGT3gLC1AbCQXK5WoevyQ5xfcw2,0.39304950586814175
IZPwoBWPWqPHsNtasjNohLsP5BI2,7.2524422018865636e-99
RoSaqgYbmgh4C5b2PJfieIIHm2l2,1.0347672061050788e-60
mPOoNUV8zeSH3pVHcSFcWetBvbC3,0.15977820245724048
QFmMU4ZiCLSqGyXLP10lUqj7nmu1,0.17303188595438018
3hLKuoauYSbMwcI6nmEAWblR4XO2,6.7884461176609768e-10
Eo45HSPQehSsYBsMtgCl6LKeIsV2,5.2455289128253161e-10
cgNv1VCCuQMHTZCSfrre3cJvFLt2,4.4740256569936468e-43
Pehd2pXEtAbNRgBWRUlqed1lt4x1,0.11399626611111215
iAzVdE3NMkMvxmijRad3qhAqFde2,0.18174366419216209
iNvi2kVYsEYXIsdzJx6CLE0z2873,0.20597667386801494
BE4w2fiBtjUBur59q4S4sPCskBI3,0.37958919310243111
pGzVrZ5mqLPHWISyeTLuTBclRIt2,0.00964501035149932
ccQHtaSDNPUOYXwn5A6MTHFuYnj2,0.32867349665847057
mA2UwA33kdTI8wgJX8c4xuIpETw2,9.1014760656583458e-10
G4JSOpWsfUTFuKUvkVhsWxT4Xfa2,3.1248909752542515e-55
C6Pso5m314hAOWS6Mzga25vAlbk2,0.056569845573501837
2iCZTgIZUzbBbPzyMXEcOXEwxoT2,2.0138826096962188e-91
8WR0h345YmRB6wcjiUfCcWWfefL2,2.8800265083586849e-26
RaicBs79HQbwBeAk9fbspvLcT9q2,0.30303421333747682
JskWaFnIE0gnbu6r29VJdpcCP442,1.3027681611657658e-56
E0aPkYvXzMSqwBjl25IQ5zaEpg82,0.513296516825003
ZBzXdYRCz0e3lgLAx9i0JMXXkqp1,4.9447512626323192e-61
peWi17PVCLNgIj7LPIsLvjhMu2k1,0.027064960247870421
D9VTkWBwquUSLDinEXe5Yl6tOHC2,0.20186398795703644
srT98Z1M09bZIlygFAih0ArIihP2,0.35112108243241497
